study_word,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,p_li_e,police,old,police,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[2.6469075840000187],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,_ho_e,phone,old,chore,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[2.7134890419997646],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,t_hi_t,tshirt,old,tshirt,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[1.837467333999939],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,k_y_,keys,old,keys,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[1.6381841249999525],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,_ru_is_,cruise,old,cruise,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[2.220539750000171],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,l_pt_p,laptop,old,laptop,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[2.8395260840002265],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,_o_rd,board,old,board,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[2.6724781659995642],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,_o_se,mouse,old,miuse,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[3.779755208000097],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,_ou_se,mouse,old,mouse,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[2.3618614590000107],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,_ha_t,chart,old,chart,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[1.8056570419998934],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,c_s_,case,old,case,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[3.7219684589999815],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,c_s_io_,cushion,old,cushion,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[2.222671457999695],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,p_st_r,poster,old,pastry,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[1.9218084160002036],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,_oo_,book,old,book,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[1.8722868330000892],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,_a_bl_,marble,old,marble,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[2.230360416000167],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,p_str_,pastry,old,pastry,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[2.023725457999717],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,v_s_,vase,new,vase,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[3.894136458000048],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,c_m_ra,camera,new,camera,[-0.10777777777777778],[-0.31333333333333335],[1],[0],[0],[2.671774750000168],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,bo_t_e,bottle,new,bottle,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[2.8956116670001393],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,p_nc_l,pencil,new,pencil,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[2.0291540419998455],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,ta_l_,table,new,table,[-0.09777777777777778],[-0.3011111111111111],[1],[0],[0],[2.2630120419999002],['submit_text'],nandini,001,2024-10-25_11h56.40.271,wordpriming,2024.1.5,None,2024-10-25 11h56.53.331241 +0530
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,prop of hit ,0.9375,,,,,,,,,,,,,,
,,,prop of hit ,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,-0.0625,,,,,,,,,,,,,,
