study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Test_phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
laptop,,,,0,0,0,5,,,,,0.07268541699158959,,0.02820874997996725,0.07268541699158959,0.07268541699158959,1.9500971249944996,1.0133333333333334,1.8978599589900114,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
tshirt,,,,0,1,1,7,,,,,1.9740444999770261,,1.9505841249774676,1.9740444999770261,1.9740444999770261,3.115701957984129,1,1.1413627910078503,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
case,,,,0,2,2,10,,,,,3.1390902919811197,,3.1160267499799374,3.1390902919811197,3.1390902919811197,3.45102962499368,1,0.3120484589890111,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
board,,,,0,3,3,4,,,,,3.474368457973469,,3.4513289169990458,3.474368457973469,3.474368457973469,3.740501124993898,1,0.2660529580025468,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
police,,,,0,4,4,12,,,,,3.76316345797386,,3.740822041989304,3.76316345797386,3.76316345797386,3.9302175419870764,1,0.16747379198204726,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
pastry,,,,0,5,5,9,,,,,3.9536027499998454,,3.930522791983094,3.9536027499998454,3.9536027499998454,4.106554749974748,1,0.152574291016208,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
book,,,,0,6,6,0,,,,,4.128414624981815,,4.106863458000589,4.128414624981815,4.128414624981815,4.264710332994582,1,0.13612258300418034,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
mouse,,,,0,7,7,8,,,,,4.287223833001917,,4.265005541994469,4.287223833001917,4.287223833001917,4.454244207998272,1,0.15155358400079422,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
cushion,,,,0,8,8,1,,,,,4.477552917000139,,4.454545832995791,4.477552917000139,4.477552917000139,4.606331124989083,1,0.1280603329942096,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
chart,,,,0,9,9,6,,,,,4.628325416997541,,4.606628124980489,4.628325416997541,4.628325416997541,4.781612332997611,1,0.1534705420199316,,,,,,,,,,,,,,,nitya,001,2024-11-07_23h18.28.880,wordpriming,2024.1.5,None,2024-11-07 23h18.49.568877 +0700,
