study_word,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
mouse,p_nc_l,pencil,new,"pencil
","[-0.5011111111111111, -0.04888888888888889]","[-0.2966666666666667, -0.2922222222222222]","[1, 1]","[0, 0]","[0, 0]","[0.2947618339967448, 12.82780920897494]",['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
pastry,v_s_,vase,new,vase,[0.023333333333333334],[-0.3088888888888889],[1],[0],[0],[1.9624451249837875],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
cushion,c_m_ra,camera,new,camera,[0.03333333333333333],[-0.31333333333333335],[1],[0],[0],[3.236696000007214],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
keys,bo_t_e,bottle,new,bottle,[0.03333333333333333],[-0.31333333333333335],[1],[0],[0],[1.822360624995781],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
,ta_l_,table,new,table,[0.0044444444444444444],[-0.2866666666666667],[1],[0],[0],[1.8285032919957303],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
chart,p_st_r,poster,old,poster,[0.01888888888888889],[-0.3233333333333333],[1],[0],[0],[3.4133560419722926],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
cruise,_o_rd,board,old,chord,[0.01888888888888889],[-0.3233333333333333],[1],[0],[0],[2.2058914579974953],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
laptop,_ho_e,phone,old,chores,[0.023333333333333334],[-0.3088888888888889],[1],[0],[0],[3.4376239590055775],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
marble,_o_se,mouse,old,mouse,[0.023333333333333334],[-0.3088888888888889],[1],[0],[0],[2.796761790988967],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
poster,_ou_se,mouse,old,choose,[0.023333333333333334],[-0.3088888888888889],[1],[0],[0],[13.997154415992554],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
tshirt,l_pt_p,laptop,old,laptop,[0.016666666666666666],[-0.31],[1],[0],[0],[2.99922024999978],['submit_text'],stavan,1,2024-11-07_22h44.14.045,wordpriming,2024.1.5,None,2024-11-07 22h44.40.996933 +0700
